1,3,5,7,13,15,17,19,21,25,27,29,31
0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0
2,1,0,0,1,0,0,0,0,0,0,3,0
1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,3,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,3,2,3,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,0
1,2,0,1,0,0,5,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,1,0,2
0,0,0,0,0,0,2,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1
1,2,0,0,2,2,10,3,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,4,1,0,3,4,3,4
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,0,0,0,1,0,0,0,0
1,3,1,0,3,0,1,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,2,0,2,0,0,19,8,5,5
0,0,1,0,0,0,0,0,3,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,1
0,1,1,0,1,2,4,4,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,4,3
0,0,1,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,4,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,1,1,0,2,0
11,8,0,5,8,7,12,6,11,10,5,5,6
3,1,0,0,3,0,3,4,3,11,4,2,1
14,13,5,13,12,2,4,9,10,7,2,5,2
0,0,0,0,0,0,0,0,0,1,0,0,0
0,2,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,3,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,1,1,1,2,2,1,0,1,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,0,0,0
2,1,0,0,1,0,1,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1
5,8,0,1,0,2,2,7,4,1,0,0,0
4,12,6,9,0,1,11,1,4,0,0,0,4
0,0,0,1,0,0,1,0,1,0,0,0,0
2,0,0,3,1,2,3,3,6,0,0,0,0
5,8,4,2,0,0,0,1,11,0,0,0,1
0,0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,1,0,1,1,0,2,0,1,0
