1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0
1,0,3,1,0,1,6,0,2,3,0,0,1,0,1,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,4,62,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2,0,6,2,0,2,2,1,0,0,55,0,4,3,2
2,3,1,0,2,0,0,1,2,0,3,8,6,1,2,0
1,2,1,1,2,0,3,1,1,1,0,0,4,2,3,1
0,0,1,3,0,2,2,1,0,1,1,2,0,0,0,0
0,1,11,4,8,4,23,4,0,2,1,2,4,1,8,2
0,0,0,1,3,0,1,0,0,0,0,12,1,0,2,0
0,3,1,2,1,0,0,0,0,0,0,0,1,1,0,0
15,13,4,2,4,0,5,7,10,12,4,4,5,2,12,9
0,8,2,3,1,2,2,0,1,0,1,3,5,2,2,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,6,3,0,1,1,1,1,3,3,0,2,1,1
6,3,0,12,5,3,2,3,7,7,6,4,12,12,4,12
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,1,0,0,1,2,0,0,1,0,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
