x,q0c,c0LL,c0UL,q0u,u0LL,u0UL,q1c,c1LL,c1UL,q1u,u1LL,u1UL,q2c,c2LL,c2UL,q2u,u2LL,u2UL
Lalo,0.78382,0.58468083,0.9829592,0.4788997,0.2311868,0.7266125,0.8530399,0.8184666,0.8876132,0.6772338,0.6155123,0.7389554,0.8518887,0.7708731,0.9329042,0.5559579,0.4852311,0.6266847
Yasuni,0.8456235,0.7830577,0.9081893,0.7300153,0.67295634,0.7870743,0.6731654,0.64292,0.7034107,0.7685895,0.7518807,0.7852983,0.6503697,0.5999639,0.7007755,0.4770417,0.4510566,0.5030268
Canande,0.8073909,0.7038721,0.9109097,0.9113136,0.7540185,1,0.7971532,0.7554273,0.8388791,0.793916,0.7422677,0.8455643,0.8198845,0.7286646,0.9111043,0.9154913,0.7908009,1
Durango,,,,0.9300797,0.8817187,0.9784408,,,,0.8084899,0.7849838,0.831996,0.7602,0.7231,0.7974,0.8251535,0.7698343,0.8804727
Jorupe,0.8552964,0.712602,0.9979907,0.8001423,0.6080858,0.9921989,0.9050667,0.8842974,0.9258359,0.8972027,0.8779153,0.9164901,0.9009679,0.8528637,0.949072,0.842636,0.7957553,0.8895166
Mashpi,,,,,,,,,,,,,0.9255,0.9022,0.9489,0.9015,0.877,0.9261
Sumaco,,,,,,,,,,,,,0.8045,0.6924,0.9166,0.3899,0.3287,0.4511
