2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,6,0,3,2,0,0,0,0,0,0,0,1,0
3,3,0,0,1,0,0,0,0,2,15,17,1,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,91,198,24,1,0,1,4
1,0,0,0,1,0,0,0,0,0,2,3,3,0,2,0
2,0,1,1,1,1,1,1,1,1,3,2,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,2,6,0,0,1,3
2,1,0,18,0,0,0,0,0,9,2,12,0,0,3,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13,0,1,0,0,0,7,8,5,0,1,1,3
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,5,14,4,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
5,5,0,1,0,2,0,3,3,1,2,1,3,2,5,1
3,0,0,0,0,1,0,0,0,0,4,1,1,3,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,2,0,1,2,3,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
