dosel	sotobosque
5	1
1	3
4	6
1	0
255	512
56	5
0	3
1	0
26	7
3	6
0	1
1	2
69	9
0	7
1	1
22	14
2	1
1	0
6	1
1	0
18	19
0	3
1	10
0	3
194	85
0	1
1	0
14	0
46	52
1	0
1	4
1	0
1	0
1	0
11	0
15	3
3	15
3	0
2	0
6	0
26	75
32	9
2	0
0	1
20	170
80	6
0	1
1	1
1005	513
1	1
0	1
3	2
1	0
5	98
0	1
0	8
