canopy	understorey
0	1
7	1
1	0
1	5
1	0
35	33
1	0
188	4
1	0
0	1
2	0
28	3
1	11
0	1
1	0
4	12
109	7
2	0
47	181
1	0
6	2
1	0
1	2
3	0
0	1
51	125
99	31
1	0
12	21
0	1
27	30
0	2
3	5
0	2
4	0
2	0
2	3
1	0
2	2
3	16
2	2
9	1
35	8
5	0
2	0
5	1
27	0
1	0
0	1
2	0
1	15
1	0
0	2
1	1
1	0
2	0
1	0
0	2
1	1
3	23
0	1
1	0
8	0
0	1
33	0
8	37
18	0
0	1
22	5
1	0
327	164
21	27
1	2
5	3
1	20
1	4
4	9
1	3
0	2
0	1
