trap,strata,Achlyodes busirus,Adelpha barnesia,Adelpha cocala,Adelpha hesterbergi,Adelpha leuceria,Adelpha phylaca,Antirrhea philaretes,Antirrhea pterocopha,Arcas imperialis,Archaeoprepona camilla,Archaeoprepona demophon,Archaeoprepona demophoon,Baeotus beotus,Caerois gerdrudtus,Caligo atreus,Caligo brasiliensis,Caligo zeuxippus,Callicore atacama,Callicore lyca,Catoblepia orgetorix,Catoblepia xanthicles,Catonephele numilia,Catonephele orites,Chloreuptychia arnaca,Cissia confusa,Cithaerias pireta,Colobura annulata,Colobura dirce,Consul electra,Consul panariste,Diaethria clymena,Dulcedo polita,Eunica norica,Euselasia sp1,Fountainea ryphea,Fountainea titan,Haetera piera,Hamadryas laodamia,Hermeuptychia hermes,Historis acheronta,Historis odius,Hypna clytemnestra,Magneuptychia inani,Magneuptychia mycalesis,Manataria hercyna,Megeuptychia antonoe,Memphis aulica,Memphis aureola,Memphis cleomestra,Memphis glauce,Memphis juliani,Memphis mora,Memphis nenia,Memphis offa,Mesosemia sp1,Morpho amathonte,Morpho helenor,Morpho theseus,Necyria duellona,Neoxeniades pluviasilva,Nessaea aglaura,Opsiphanes bogotanus,Opsiphanes invirae,Opsiphanes quiteria,Opsiphanes tamarindi,Opsiphanes unidentifiable,Pareuptychia ocirrhoe,Pierella helvina,Pierella luna,Prepona dexamenus,Prepona gnorima,Prepona laertes,Pseudodebis puritana,Pyrrhogyra otolais,Satirinae sp1,Smyrna blomfildia,Taygetis inconspicua,Taygetis rufomarginata,Temenis laothoe,Tigridia acesta
4,understorey,0,0,0,0,0,0,17,1,0,2,0,0,0,0,5,1,0,0,0,1,0,0,2,1,0,11,0,1,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55,1,0,0,0,0,0,0,0,0,0,0,1
6,understorey,0,0,0,0,0,0,6,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,2,14,2,0,0,0,0,0,0,0,2,2,0,0
14,understorey,0,0,1,0,0,0,5,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,4,1,0,8,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,3
16,understorey,0,0,0,0,0,0,15,4,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,1,0,0,0
18,understorey,0,0,0,0,0,0,4,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0,2
20,understorey,0,0,0,0,0,0,18,3,0,2,0,0,0,0,5,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0
22,understorey,0,0,1,0,0,0,8,2,0,2,0,0,0,0,2,1,1,0,0,0,0,1,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,1
24,understorey,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,4,0,2,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,2,0,0,0,0,0,0,0,2,2,0,1
26,understorey,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1
28,understorey,0,0,0,0,0,0,5,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,4,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,38,4,0,0,0,0,0,1,0,0,0,0,9
30,understorey,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,2,0,0,0,0,0,1,2,0,2,3,0,1,0,0,0,0,0,0,1,0,7,0,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
32,understorey,0,0,0,0,0,0,16,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,2
