trap,strata,Achlyodes pallida,Adelpha alala,Adelpha boreas,Adelpha epione,Adelpha justina,Adelpha lycorias,Adelpha olynthia,Adelpha salmoneus,Adelpha saundersii,Adelpha thessalia,Adelpha zina,Anastrus meliboea,Anteros kupris,Archaeoprepona amphimachus,Archaeoprepona demophon,Bungalotis astylos,Caligo,Caligo brasiliensis,Caligo illioneus,Caligo prometheus,Catonephele,Catonephele chromis,Chalypyge zereda,Colobura annulata,Corades enyo,Corades pannonia,Diaethria,Diaethria clymena,Diaethria neglecta,Doxocopa cyane,Doxocopa laurentia,Dynamine gisella,Dyscophellus eurybates,Dyscophellus phraxanor,Epargyreus socus,Epiphile dilecta,Epiphile imperator,Epiphile orea,Eresia,Eresia datis,Eresia letitia,Eretris calisto,Eunica norica,Euptychoides albofasciata,Euptychoides eugenia,Forsterinaria,Forsterinaria coipa,Forsterinaria neonympha,Fountainea,Fountainea nessus,Fountainea nobilis,Graphita griphe,Hamadryas fornax,Heliconius,Heliconius clysonymus,Heliconius melpomene,Heliconius telesiphe,Hermeuptychia,Hermeuptychia atalanta,Hermeuptychia hermes,Hesperiidae,Lymanopoda acraeida,Lymanopoda panacea,Magneuptychia alcinoe,Magneuptychia fugitiva,Mcclungia cymo,Megeuptychia antonoe,Melanis marathon,Memphis,Memphis acidalia,Memphis anassa,Memphis cluvia,Memphis lineata,Memphis mora,Memphis offa,Memphis phoebe,Necyria bellona,Necyria saundersi,Nessaea,Nessaea hewitsoni,Noreppa chromus,Opsiphanes,Opsiphanes cassiae,Opsiphanes invirae,Oressinoma typhla,Oxeoschistus protogenia,Pedaliodes balnearia,Pedaliodes manis,Perichares philetes,Perisama alicia,Perisama dorbignyi,Pronophila fasciata,Pronophila intercidona,Pyrrhogyra cuparina,Rhetus dysonii,Siderone galanthis,Splendeuptychia ashna,Taygetis,Taygetis chrysogone,Taygetis larua,Taygetis mermeria,Taygetis thamyra,Taygetis virgilia,Telemiades centrites,Temenis laothoe,Temenis pulchra,Theritas orsina,Urbanus esmeraldus,Urbanus proteus,Urbanus sp.,Urbanus teleus,Weymerana saul
7,canopy,0,0,1,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,24,7,0,0,5,0,6,0,0,0,0,0,10,15,0,1,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,canopy,3,2,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,1,10,2,0,2,3,0,4,0,0,0,0,0,7,11,0,2,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,understorey,3,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,22,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,1,0,0,0,0,15,14,0,10,2,0,7,0,0,0,0,0,9,20,0,0,0,14,0,0,0,0,2,0,1,0,4,0,0,0,0,1,0,1,0,0,1,1,0,0,0,4,0,0,0,2,1,0,0,0,0,0,15,0,0,1,6,0,0,0,0,0,0,0,0,1
11,understorey,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,5,1,2,0,0,0,3,1,2,0,0,12,12,1,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0
13,understorey,1,1,8,1,16,1,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,26,1,1,0,0,0,0,1,0,0,3,2,0,0,0,2,3,6,0,1,2,0,0,0,0,0,5,0,2,0,0,2,4,5,4,0,0,9,6,0,0,1,34,0,0,1,0,1,1,1,0,1,0,1,0,0,3,0,0,0,1,6,0,0,0,0,2,0,0,0,0,3,2,23,0,1,0,5,2,0,1,2,0,1,0,0,0,0,0,0,0
15,understorey,0,0,8,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,1,2,1,1,10,8,0,0,0,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,4,0,0,0,7,0,0,1,3,0,0,0,0,0,0,0,0,0
17,understorey,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,12,4,0,0,0,0,2,0,0,1,0,0,5,25,2,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,10,1,0,1,7,0,0,0,0,0,1,0,0,0
19,understorey,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,4,5,0,4,2,0,0,0,0,0,0,1,10,50,1,0,0,57,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,12,0,0,1,7,0,0,0,0,0,2,0,0,0
21,understorey,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,6,0,0,2,12,0,0,2,0,1,0,0,0,0,0,40,532,0,1,0,171,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,1,1,0,0,0,4,1,0,3,6,0,0,0,0,0,0,0,1,0
23,understorey,3,0,2,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,10,40,0,1,0,0,1,51,0,0,1,0,2,2,1,8,1,13,199,468,0,33,4,350,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,62,1,55,0,0,0,8,0,2,2,0,12,0,4,3,0,3,4,0,0,0,0,1,0,0,0,0
25,understorey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,1,0,0,0,0,31,13,0,2,1,0,0,0,1,0,0,5,34,180,0,0,0,80,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,0,4,0,1,1,5,5,0,0,12,1,0,0,0,0,1,0,0,0
27,understorey,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,3,0,1,0,0,0,0,0,33,16,0,0,1,0,1,0,0,0,0,0,22,114,0,0,0,76,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,2,0,1,0,0,1,2,2,0,2,12,0,0,0,0,0,0,0,0,0
29,understorey,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3,3,0,2,0,0,1,0,0,5,10,0,1,2,1,0,0,2,4,0,1,30,129,0,1,0,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,2,3,0,8,0,2,0,12,2,0,1,4,0,0,0,0,0,1,0,0,0
3,understorey,2,2,3,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,38,0,0,0,1,0,0,0,0,0,0,8,0,0,0,2,4,0,0,0,2,0,0,0,0,23,7,0,4,1,0,5,0,4,0,0,1,12,26,0,3,1,19,0,0,2,0,7,0,0,0,3,1,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,3,2,0,1,0,0,3,13,8,0,4,3,0,0,0,0,0,0,0,0,0
31,understorey,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,1,0,1,5,0,5,20,0,0,0,32,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,9,3,0,1,12,0,0,0,0,0,1,0,0,0
5,understorey,2,2,2,0,2,3,1,0,0,0,3,0,0,1,1,1,1,0,0,0,2,19,0,1,0,0,0,0,0,0,0,2,3,0,0,0,3,2,1,0,1,1,0,0,0,0,2,5,0,5,7,0,4,3,8,7,0,1,4,106,0,0,0,93,0,0,1,1,2,0,1,0,1,0,1,2,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,1,1,1,11,0,0,1,4,2,1,0,0,0,0,0,0,0,1,0,0,0
7,understorey,0,0,1,0,8,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,4,2,0,0,2,0,0,0,0,21,20,0,0,1,0,2,0,1,0,0,0,10,45,1,0,0,20,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,1,3,4,0,1,2,2,3,0,6,12,0,0,0,0,0,0,1,0,0
9,understorey,3,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,7,1,0,0,7,0,0,0,0,9,16,0,1,1,0,5,0,0,2,0,0,32,91,0,1,0,39,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,2,0,8,0,3,1,4,1,0,3,5,0,0,0,0,0,0,0,0,0
