distance,carrion_c,carrion_u,distancef,fruit_c,fruit_u
574.0294711,0.224557489,0.749849249,575.8992565,0.760869565,0.198837209
140.3798047,0.986861477,0.720475711,135.6103812,1,1
244.6374752,0.387032705,0.760775725,235.8984682,1,0.026070451
318.7079248,0.318238694,0.338550217,353.4154927,0.183006536,0.018240815
354.7039143,0.430911167,0.635560219,393.4308451,0.134989201,0.091995074
474.9698793,0.282496433,0.542322248,499.5046884,0.652173913,0.969460227
485.143577,0.609946973,0.688875079,535.6445242,0.154185022,0.902061856
600.9859529,0.336570986,0.623446471,600.7526414,0.239520958,0.876685934
586.7937864,0.314329335,0.936057057,574.626144,0.603448276,0.461805556
114.5397792,0.260771205,0.749107343,111.956886,1,0.026070451
205.3692693,0.268913265,0.592351372,342.1344569,0.795454545,0.018240815
346.2874822,0.581613469,0.702358871,405.7364578,0.690954774,0.091995074
481.7674557,0.152361884,0.800888251,523.9132048,1,0.969460227
523.4657517,0.43304735,0.853124933,568.5875931,0.74270557,0.902061856
641.7995435,0.347584505,0.783018319,661.8539473,0.780141844,0.876685934
656.2248226,0.194841499,0.79992395,654.8950754,1,0.461805556
97.88795679,0.941325366,0.755510936,304.1204577,0.256880734,0.996601406
316.1135958,0.702229933,0.93784612,380.9836112,0.189202825,0.654580499
452.2037835,0.903982046,0.898961299,501.3136314,0.571428571,0.162317918
517.1829957,0.896537328,0.946593454,550.9480485,0.266497462,0.028759905
632.4102828,0.854588504,0.954438165,664.8029818,0.416666667,0.137177918
670.6509244,0.961870829,0.906653789,675.3544,0.807692308,0.52654894
271.7950826,0.506141797,0.834210661,83.54196862,1,0.635808507
399.8250258,0.988866535,0.9196045,199.8205933,0.969404187,0.170340395
481.4885423,0.744715768,0.833531342,251.5920663,1,0.031747024
590.7711197,0.70310734,0.888885541,383.1252348,1,0.128966266
647.8162161,0.972117614,0.534859381,421.3972585,1,0.495298701
137.1671534,0.420136718,0.941096177,120.4736033,0.892698525,0.401487857
210.0664964,0.745293589,0.942193825,170.2886451,1,0.117728111
319.6261912,0.959539395,0.976347658,299.7927459,1,0.63894075
381.3962167,0.582926556,0.775550953,342.6359835,1,0.836582015
114.7705943,0.747626512,0.981442039,53.18914906,1,0.969827586
196.8638182,0.639623024,0.987934904,201.9088232,1,1
291.364154,0.961571756,0.724817011,271.8556961,1,0.534375
118.3989258,0.887543153,0.977136222,153.0564013,1,0.796847636
178.8145761,0.872133768,0.835792532,233.0537646,1,0.547120419
137.7707548,0.78894869,0.788500521,104.4737744,1,0.677855183
