lon,lat
-79.90377802,-4.371749992
-79.90374098,-4.372368995
-79.90441496,-4.372150982
-79.90532197,-4.372083005
-79.90189796,-4.369204994
-79.90125901,-4.369156966
-79.90091099,-4.368656985
-79.90037899,-4.367415961
