lon,lat
-78.605551,1.013117
-78.605005,1.014172
-78.605741,1.014783
-78.609666,1.009573
-78.60953,1.008981
-78.608663,1.009283
-78.607521,1.009304
-78.606366,1.009382
-78.609479,1.006157
-78.610566,1.007315
-78.611657,1.008131
-78.612539,1.008771
-78.609939,1.008501
